Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0158259, 0, 0, 0, 1, 1, 0, 1, 1
0.0158561, 0, 0, 1, 1, 1, 0, 1, 1
0.0158565, 0, 0, 1, 1, 1, 1, 1, 1
0.0158868, 0, 0, 0, 1, 1, 1, 1, 1
0.0158869, 0, 0, 0, 1, 1, 0, 1, 1
0.0159165, 0, 0, 1, 1, 1, 0, 1, 1
0.0159175, 0, 0, 1, 1, 1, 1, 1, 1
0.0159472, 0, 0, 0, 1, 1, 1, 1, 1
0.0159480, 0, 0, 0, 1, 1, 0, 1, 1
0.0159776, 0, 0, 1, 1, 1, 0, 1, 1
0.0159786, 0, 0, 1, 1, 1, 1, 1, 1
0.0160080, 0, 0, 0, 1, 1, 1, 1, 1
0.0160090, 0, 0, 0, 1, 1, 0, 1, 1
0.0160385, 0, 0, 1, 1, 1, 0, 1, 1
0.0160396, 0, 0, 1, 1, 1, 1, 1, 1
0.0160690, 0, 0, 0, 1, 1, 1, 1, 1
0.0160700, 0, 0, 0, 1, 1, 0, 1, 1
0.0160997, 0, 0, 1, 1, 1, 0, 1, 1
0.0161007, 0, 0, 1, 1, 1, 1, 1, 1
0.0161300, 0, 0, 0, 1, 1, 1, 1, 1
0.0161311, 0, 0, 0, 1, 1, 0, 1, 1
0.0161605, 0, 0, 1, 1, 1, 0, 1, 1
0.0161617, 0, 0, 1, 1, 1, 1, 1, 1
0.0161910, 0, 0, 0, 1, 1, 1, 1, 1
0.0161921, 0, 0, 0, 1, 1, 0, 1, 1
0.0162217, 0, 0, 1, 1, 1, 0, 1, 1
0.0162227, 0, 0, 1, 1, 1, 1, 1, 1
0.0162379, 0, 0, 1, 1, 1, 1, 0, 1
0.0162524, 0, 0, 0, 1, 1, 1, 0, 1
0.0162532, 0, 0, 0, 1, 1, 0, 1, 1
0.0162684, 0, 0, 0, 1, 1, 0, 0, 1
0.0162837, 0, 0, 0, 1, 1, 1, 1, 1
0.0162857, 0, 0, 1, 1, 1, 1, 1, 1
0.0162990, 0, 0, 1, 1, 1, 1, 0, 1
0.0163131, 0, 0, 0, 1, 1, 1, 0, 1
0.0163142, 0, 0, 0, 1, 1, 0, 0, 1
0.0163143, 0, 0, 0, 1, 1, 0, 1, 1
0.0163218, 0, 0, 0, 1, 1, 0, 1, 0
0.0163295, 0, 0, 0, 1, 1, 0, 0, 0
0.0163436, 0, 0, 1, 1, 1, 0, 0, 0
0.0163447, 0, 0, 1, 1, 1, 0, 1, 0
0.0163448, 0, 0, 1, 1, 1, 1, 1, 0
0.0163600, 0, 0, 1, 1, 1, 1, 0, 0
0.0163741, 0, 0, 0, 1, 1, 1, 0, 0
0.0163752, 0, 0, 0, 1, 1, 0, 0, 0
0.0163753, 0, 0, 0, 1, 1, 0, 1, 0
0.0163905, 0, 0, 0, 1, 1, 0, 0, 0
0.0164047, 0, 0, 1, 1, 1, 0, 0, 0
0.0164058, 0, 0, 1, 1, 1, 1, 1, 0
0.0164210, 0, 0, 1, 1, 1, 1, 0, 0
0.0164354, 0, 0, 0, 1, 1, 1, 0, 0
0.0164363, 0, 0, 0, 1, 1, 0, 1, 0
0.0164516, 0, 0, 0, 1, 1, 0, 0, 0
0.0164661, 0, 0, 1, 1, 1, 0, 0, 0
0.0164668, 0, 0, 1, 1, 1, 0, 1, 0
0.0164669, 0, 0, 1, 1, 1, 1, 1, 0
0.0164821, 0, 0, 1, 1, 1, 1, 0, 0
0.0164968, 0, 0, 0, 1, 1, 1, 0, 0
0.0164973, 0, 0, 0, 1, 1, 0, 0, 0
0.0164974, 0, 0, 0, 1, 1, 0, 1, 0
0.0165126, 0, 0, 0, 1, 1, 0, 0, 0
0.0165274, 0, 0, 1, 1, 1, 0, 0, 0
0.0165279, 0, 0, 1, 1, 1, 1, 1, 0
0.0165431, 0, 0, 1, 1, 1, 1, 0, 0
0.0165508, 0, 0, 1, 1, 1, 1, 0, 1
0.0165571, 0, 0, 0, 1, 1, 1, 0, 1
0.0165584, 0, 0, 0, 1, 1, 0, 1, 1
0.0165736, 0, 0, 0, 1, 1, 0, 0, 1
0.0165878, 0, 0, 1, 1, 1, 0, 0, 1
0.0165889, 0, 0, 1, 1, 1, 1, 1, 1
0.0166041, 0, 0, 1, 1, 1, 1, 0, 1
0.0166181, 0, 0, 0, 1, 1, 1, 0, 1
0.0166194, 0, 0, 0, 1, 1, 0, 0, 1
0.0166195, 0, 0, 0, 1, 1, 0, 1, 1
0.0166347, 0, 0, 0, 1, 1, 0, 0, 1
0.0166423, 0, 0, 0, 1, 1, 0, 0, 0
0.0166486, 0, 0, 1, 1, 1, 0, 0, 0
0.0166499, 0, 0, 1, 1, 1, 0, 1, 0
0.0166500, 0, 0, 1, 1, 1, 1, 1, 0
0.0166652, 0, 0, 1, 1, 1, 1, 0, 0
0.0166729, 0, 0, 1, 1, 1, 1, 0, 1
0.0166791, 0, 0, 0, 1, 1, 1, 0, 1
0.0166804, 0, 0, 0, 1, 1, 0, 0, 1
0.0166805, 0, 0, 0, 1, 1, 0, 1, 1
0.0166957, 0, 0, 0, 1, 1, 0, 0, 1
0.0167097, 0, 0, 1, 1, 1, 0, 0, 1
0.0167110, 0, 0, 1, 1, 1, 1, 1, 1
0.0167262, 0, 0, 1, 1, 1, 1, 0, 1
0.0167339, 0, 0, 1, 1, 1, 1, 0, 0
0.0167403, 0, 0, 0, 1, 1, 1, 0, 0
0.0167415, 0, 0, 0, 1, 1, 0, 1, 0
0.0167567, 0, 0, 0, 1, 1, 0, 0, 0
0.0167644, 0, 0, 0, 1, 1, 0, 0, 1
0.0167706, 0, 0, 1, 1, 1, 0, 0, 1
0.0167720, 0, 0, 1, 1, 1, 0, 1, 1
0.0167721, 0, 0, 1, 1, 1, 1, 1, 1
0.0167873, 0, 0, 1, 1, 1, 1, 0, 1
0.0168011, 0, 0, 0, 1, 1, 1, 0, 1
0.0168025, 0, 0, 0, 1, 1, 0, 0, 1
0.0168026, 0, 0, 0, 1, 1, 0, 1, 1
0.0168178, 0, 0, 0, 1, 1, 0, 0, 1
0.0168254, 0, 0, 0, 1, 1, 0, 0, 0
0.0168316, 0, 0, 1, 1, 1, 0, 0, 0
0.0168330, 0, 0, 1, 1, 1, 0, 1, 0
0.0168331, 0, 0, 1, 1, 1, 1, 1, 0
0.0168483, 0, 0, 1, 1, 1, 1, 0, 0
0.0168621, 0, 0, 0, 1, 1, 1, 0, 0
0.0168636, 0, 0, 0, 1, 1, 0, 1, 0
0.0168788, 0, 0, 0, 1, 1, 0, 0, 0
0.0168926, 0, 0, 1, 1, 1, 0, 0, 0
0.0168941, 0, 0, 1, 1, 1, 1, 1, 0
0.0169093, 0, 0, 1, 1, 1, 1, 0, 0
0.0169231, 0, 0, 0, 1, 1, 1, 0, 0
0.0169246, 0, 0, 0, 1, 1, 0, 0, 0
0.0169247, 0, 0, 0, 1, 1, 0, 1, 0
0.0169399, 0, 0, 0, 1, 1, 0, 0, 0
0.0169536, 0, 0, 1, 1, 1, 0, 0, 0
0.0169551, 0, 0, 1, 1, 1, 0, 1, 0
0.0169552, 0, 0, 1, 1, 1, 1, 1, 0
0.0169704, 0, 0, 1, 1, 1, 1, 0, 0
0.0169841, 0, 0, 0, 1, 1, 1, 0, 0
0.0169856, 0, 0, 0, 1, 1, 0, 0, 0
0.0169857, 0, 0, 0, 1, 1, 0, 1, 0
0.0170009, 0, 0, 0, 1, 1, 0, 0, 0
0.0170148, 0, 0, 1, 1, 1, 0, 0, 0
0.0170162, 0, 0, 1, 1, 1, 1, 1, 0
0.0170314, 0, 0, 1, 1, 1, 1, 0, 0
0.0170455, 0, 0, 0, 1, 1, 1, 0, 0
0.0170467, 0, 0, 0, 1, 1, 0, 1, 0
0.0170619, 0, 0, 0, 1, 1, 0, 0, 0
0.0170762, 0, 0, 1, 1, 1, 0, 0, 0
0.0170772, 0, 0, 1, 1, 1, 0, 1, 0
0.0170773, 0, 0, 1, 1, 1, 1, 1, 0
0.0170925, 0, 0, 1, 1, 1, 1, 0, 0
0.0171069, 0, 0, 0, 1, 1, 1, 0, 0
0.0171077, 0, 0, 0, 1, 1, 0, 0, 0
0.0171078, 0, 0, 0, 1, 1, 0, 1, 0
0.0171230, 0, 0, 0, 1, 1, 0, 0, 0
0.0171366, 0, 0, 1, 1, 1, 0, 0, 0
0.0171382, 0, 0, 1, 1, 1, 0, 1, 0
0.0171383, 0, 0, 1, 1, 1, 1, 1, 0
0.0171535, 0, 0, 1, 1, 1, 1, 0, 0
0.0171673, 0, 0, 0, 1, 1, 1, 0, 0
0.0171688, 0, 0, 0, 1, 1, 0, 1, 0
0.0171840, 0, 0, 0, 1, 1, 0, 0, 0
0.0171976, 0, 0, 1, 1, 1, 0, 0, 0
0.0171993, 0, 0, 1, 1, 1, 1, 1, 0
0.0172145, 0, 0, 1, 1, 1, 1, 0, 0
0.0172281, 0, 0, 0, 1, 1, 1, 0, 0
0.0172298, 0, 0, 0, 1, 1, 0, 0, 0
0.0172299, 0, 0, 0, 1, 1, 0, 1, 0
0.0172451, 0, 0, 0, 1, 1, 0, 0, 0
0.0172587, 0, 0, 1, 1, 1, 0, 0, 0
0.0172603, 0, 0, 1, 1, 1, 0, 1, 0
0.0172604, 0, 0, 1, 1, 1, 1, 1, 0
0.0172756, 0, 0, 1, 1, 1, 1, 0, 0
0.0172892, 0, 0, 0, 1, 1, 1, 0, 0
0.0172908, 0, 0, 0, 1, 1, 0, 0, 0
0.0172909, 0, 0, 0, 1, 1, 0, 1, 0
0.0173061, 0, 0, 0, 1, 1, 0, 0, 0
0.0173199, 0, 0, 1, 1, 1, 0, 0, 0
0.0173214, 0, 0, 1, 1, 1, 1, 1, 0
0.0173366, 0, 0, 1, 1, 1, 1, 0, 0
0.0173502, 0, 0, 0, 1, 1, 1, 0, 0
0.0173519, 0, 0, 0, 1, 1, 0, 1, 0
0.0173671, 0, 0, 0, 1, 1, 0, 0, 0
0.0173807, 0, 0, 1, 1, 1, 0, 0, 0
0.0173824, 0, 0, 1, 1, 1, 0, 1, 0
0.0173825, 0, 0, 1, 1, 1, 1, 1, 0
0.0173977, 0, 0, 1, 1, 1, 1, 0, 0
0.0174112, 0, 0, 0, 1, 1, 1, 0, 0
0.0174129, 0, 0, 0, 1, 1, 0, 0, 0
0.0174130, 0, 0, 0, 1, 1, 0, 1, 0
0.0174282, 0, 0, 0, 1, 1, 0, 0, 0
0.0174417, 0, 0, 1, 1, 1, 0, 0, 0
0.0174434, 0, 0, 1, 1, 1, 0, 1, 0
0.0174435, 0, 0, 1, 1, 1, 1, 1, 0
0.0174587, 0, 0, 1, 1, 1, 1, 0, 0
0.0174722, 0, 0, 0, 1, 1, 1, 0, 0
0.0174739, 0, 0, 0, 1, 1, 0, 0, 0
0.0174740, 0, 0, 0, 1, 1, 0, 1, 0
0.0174892, 0, 0, 0, 1, 1, 0, 0, 0
0.0175027, 0, 0, 1, 1, 1, 0, 0, 0
0.0175045, 0, 0, 1, 1, 1, 1, 1, 0
0.0175197, 0, 0, 1, 1, 1, 1, 0, 0
0.0175274, 0, 0, 1, 1, 1, 1, 0, 1
0.0175332, 0, 0, 0, 1, 1, 1, 0, 1
0.0175350, 0, 0, 0, 1, 1, 0, 1, 1
0.0175503, 0, 0, 0, 1, 1, 0, 0, 1
0.0175637, 0, 0, 1, 1, 1, 0, 0, 1
0.0175655, 0, 0, 1, 1, 1, 0, 1, 1
0.0175656, 0, 0, 1, 1, 1, 1, 1, 1
0.0175808, 0, 0, 1, 1, 1, 1, 0, 1
0.0175944, 0, 0, 0, 1, 1, 1, 0, 1
0.0175960, 0, 0, 0, 1, 1, 0, 0, 1
0.0175961, 0, 0, 0, 1, 1, 0, 1, 1
0.0176113, 0, 0, 0, 1, 1, 0, 0, 1
0.0176251, 0, 0, 1, 1, 1, 0, 0, 1
0.0176266, 0, 0, 1, 1, 1, 1, 1, 1
0.0176418, 0, 0, 1, 1, 1, 1, 0, 1
0.0176558, 0, 0, 0, 1, 1, 1, 0, 1
0.0176571, 0, 0, 0, 1, 1, 0, 1, 1
0.0176723, 0, 0, 0, 1, 1, 0, 0, 1
0.0176800, 0, 0, 0, 1, 1, 0, 0, 0
0.0176864, 0, 0, 1, 1, 1, 0, 0, 0
0.0176876, 0, 0, 1, 1, 1, 0, 1, 0
0.0176877, 0, 0, 1, 1, 1, 1, 1, 0
0.0177029, 0, 0, 1, 1, 1, 1, 0, 0
0.0177105, 0, 0, 1, 1, 1, 1, 0, 1
0.0177162, 0, 0, 0, 1, 1, 1, 0, 1
0.0177181, 0, 0, 0, 1, 1, 0, 0, 1
0.0177182, 0, 0, 0, 1, 1, 0, 1, 1
0.0177334, 0, 0, 0, 1, 1, 0, 0, 1
0.0177468, 0, 0, 1, 1, 1, 0, 0, 1
0.0177486, 0, 0, 1, 1, 1, 0, 1, 1
0.0177487, 0, 0, 1, 1, 1, 1, 1, 1
0.0177639, 0, 0, 1, 1, 1, 1, 0, 1
0.0177715, 0, 0, 1, 1, 1, 1, 0, 0
0.0177772, 0, 0, 0, 1, 1, 1, 0, 0
0.0177791, 0, 0, 0, 1, 1, 0, 0, 0
0.0177792, 0, 0, 0, 1, 1, 0, 1, 0
0.0177944, 0, 0, 0, 1, 1, 0, 0, 0
0.0178021, 0, 0, 0, 1, 1, 0, 0, 1
0.0178077, 0, 0, 1, 1, 1, 0, 0, 1
