Time[s], Channel 0, Channel 1, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0000000, 0, 1, 1, 1, 0, 1, 1
0.0000268, 0, 1, 1, 1, 1, 1, 1
0.0000572, 0, 1, 1, 1, 0, 1, 1
0.0000878, 0, 1, 1, 1, 1, 1, 1
0.0001182, 0, 1, 1, 1, 0, 1, 1
0.0001488, 0, 1, 1, 1, 1, 1, 1
0.0001793, 0, 1, 1, 1, 0, 1, 1
0.0002099, 0, 1, 1, 1, 1, 1, 1
0.0002403, 0, 1, 1, 1, 0, 1, 1
0.0002709, 0, 1, 1, 1, 1, 1, 1
0.0003013, 0, 1, 1, 1, 0, 1, 1
0.0003320, 0, 1, 1, 1, 1, 1, 1
0.0003624, 0, 1, 1, 1, 0, 1, 1
0.0003930, 0, 1, 1, 1, 1, 1, 1
0.0004234, 0, 1, 1, 1, 0, 1, 1
0.0004540, 0, 1, 1, 1, 1, 1, 1
0.0004845, 0, 1, 1, 1, 0, 1, 1
0.0005151, 0, 1, 1, 1, 1, 1, 1
0.0005455, 0, 1, 1, 1, 0, 1, 1
0.0005761, 0, 1, 1, 1, 1, 1, 1
0.0006065, 0, 1, 1, 1, 0, 1, 1
0.0006372, 0, 1, 1, 1, 1, 1, 1
0.0006676, 0, 1, 1, 1, 0, 1, 1
0.0006982, 0, 1, 1, 1, 1, 1, 1
0.0007286, 0, 1, 1, 1, 0, 1, 1
0.0007592, 0, 1, 1, 1, 1, 1, 1
0.0007897, 0, 1, 1, 1, 0, 1, 1
0.0008203, 0, 1, 1, 1, 1, 1, 1
0.0008507, 0, 1, 1, 1, 0, 1, 1
0.0008813, 0, 1, 1, 1, 1, 1, 1
0.0009117, 0, 1, 1, 1, 0, 1, 1
0.0009423, 0, 1, 1, 1, 1, 1, 1
0.0009728, 0, 1, 1, 1, 0, 1, 1
0.0010034, 0, 1, 1, 1, 1, 1, 1
0.0010338, 0, 1, 1, 1, 0, 1, 1
0.0010644, 0, 1, 1, 1, 1, 1, 1
0.0010948, 0, 1, 1, 1, 0, 1, 1
0.0011255, 0, 1, 1, 1, 1, 1, 1
0.0011559, 0, 1, 1, 1, 0, 1, 1
0.0011865, 0, 1, 1, 1, 1, 1, 1
0.0012169, 0, 1, 1, 1, 0, 1, 1
0.0012475, 0, 1, 1, 1, 1, 1, 1
0.0012780, 0, 1, 1, 1, 0, 1, 1
0.0013086, 0, 1, 1, 1, 1, 1, 1
0.0013390, 0, 1, 1, 1, 0, 1, 1
0.0013696, 0, 1, 1, 1, 1, 1, 1
0.0014000, 0, 1, 1, 1, 0, 1, 1
0.0014307, 0, 1, 1, 1, 1, 1, 1
0.0014611, 0, 1, 1, 1, 0, 1, 1
0.0014917, 0, 1, 1, 1, 1, 1, 1
0.0015221, 0, 1, 1, 1, 0, 1, 1
0.0015527, 0, 1, 1, 1, 1, 1, 1
0.0015832, 0, 1, 1, 1, 0, 1, 1
0.0016138, 0, 1, 1, 1, 1, 1, 1
0.0016442, 0, 1, 1, 1, 0, 1, 1
0.0016748, 0, 1, 1, 1, 1, 1, 1
0.0017052, 0, 1, 1, 1, 0, 1, 1
0.0017359, 0, 1, 1, 1, 1, 1, 1
0.0017663, 0, 1, 1, 1, 0, 1, 1
0.0017969, 0, 1, 1, 1, 1, 1, 1
0.0018273, 0, 1, 1, 1, 0, 1, 1
0.0018579, 0, 1, 1, 1, 1, 1, 1
0.0018884, 0, 1, 1, 1, 0, 1, 1
0.0019190, 0, 1, 1, 1, 1, 1, 1
0.0019494, 0, 1, 1, 1, 0, 1, 1
0.0019800, 0, 1, 1, 1, 1, 1, 1
0.0020104, 0, 1, 1, 1, 0, 1, 1
0.0020411, 0, 1, 1, 1, 1, 1, 1
0.0020715, 0, 1, 1, 1, 0, 1, 1
0.0021021, 0, 1, 1, 1, 1, 1, 1
0.0021325, 0, 1, 1, 1, 0, 1, 1
0.0021631, 0, 1, 1, 1, 1, 1, 1
0.0021936, 0, 1, 1, 1, 0, 1, 1
0.0022242, 0, 1, 1, 1, 1, 1, 1
