Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.0000000, 0, 0, 1, 1, 1, 1, 1, 1
0.0000086, 0, 0, 1, 1, 1, 0, 1, 1
0.0000231, 0, 0, 0, 1, 1, 0, 1, 1
0.0000392, 0, 0, 0, 1, 1, 1, 1, 1
0.0000536, 0, 0, 1, 1, 1, 1, 1, 1
0.0000696, 0, 0, 1, 1, 1, 0, 1, 1
0.0000841, 0, 0, 0, 1, 1, 0, 1, 1
0.0001002, 0, 0, 0, 1, 1, 1, 1, 1
0.0001171, 0, 0, 1, 1, 1, 1, 1, 1
0.0001307, 0, 0, 1, 1, 1, 0, 1, 1
0.0001451, 0, 0, 0, 1, 1, 0, 1, 1
0.0001613, 0, 0, 0, 1, 1, 1, 1, 1
0.0001758, 0, 0, 1, 1, 1, 1, 1, 1
0.0001917, 0, 0, 1, 1, 1, 0, 1, 1
0.0002061, 0, 0, 0, 1, 1, 0, 1, 1
0.0002223, 0, 0, 0, 1, 1, 1, 1, 1
0.0002366, 0, 0, 1, 1, 1, 1, 1, 1
0.0002527, 0, 0, 1, 1, 1, 0, 1, 1
0.0002671, 0, 0, 0, 1, 1, 0, 1, 1
0.0002833, 0, 0, 0, 1, 1, 1, 1, 1
0.0002976, 0, 0, 1, 1, 1, 1, 1, 1
0.0003138, 0, 0, 1, 1, 1, 0, 1, 1
0.0003281, 0, 0, 0, 1, 1, 0, 1, 1
0.0003444, 0, 0, 0, 1, 1, 1, 1, 1
0.0003586, 0, 0, 1, 1, 1, 1, 1, 1
0.0003748, 0, 0, 1, 1, 1, 0, 1, 1
0.0003891, 0, 0, 0, 1, 1, 0, 1, 1
0.0004054, 0, 0, 0, 1, 1, 1, 1, 1
0.0004196, 0, 0, 1, 1, 1, 1, 1, 1
0.0004358, 0, 0, 1, 1, 1, 0, 1, 1
0.0004503, 0, 0, 0, 1, 1, 0, 1, 1
0.0004665, 0, 0, 0, 1, 1, 1, 1, 1
0.0004810, 0, 0, 1, 1, 1, 1, 1, 1
0.0004969, 0, 0, 1, 1, 1, 0, 1, 1
0.0005117, 0, 0, 0, 1, 1, 0, 1, 1
0.0005275, 0, 0, 0, 1, 1, 1, 1, 1
0.0005424, 0, 0, 1, 1, 1, 1, 1, 1
0.0005579, 0, 0, 1, 1, 1, 0, 1, 1
0.0005721, 0, 0, 0, 1, 1, 0, 1, 1
0.0005885, 0, 0, 0, 1, 1, 1, 1, 1
0.0006027, 0, 0, 1, 1, 1, 1, 1, 1
0.0006190, 0, 0, 1, 1, 1, 0, 1, 1
0.0006331, 0, 0, 0, 1, 1, 0, 1, 1
0.0006496, 0, 0, 0, 1, 1, 1, 1, 1
0.0006636, 0, 0, 1, 1, 1, 1, 1, 1
0.0006800, 0, 0, 1, 1, 1, 0, 1, 1
0.0006941, 0, 0, 0, 1, 1, 0, 1, 1
0.0007106, 0, 0, 0, 1, 1, 1, 1, 1
0.0007246, 0, 0, 1, 1, 1, 1, 1, 1
0.0007410, 0, 0, 1, 1, 1, 0, 1, 1
0.0007553, 0, 0, 0, 1, 1, 0, 1, 1
0.0007717, 0, 0, 0, 1, 1, 1, 1, 1
0.0007856, 0, 0, 1, 1, 1, 1, 1, 1
0.0008021, 0, 0, 1, 1, 1, 0, 1, 1
0.0008161, 0, 0, 0, 1, 1, 0, 1, 1
0.0008327, 0, 0, 0, 1, 1, 1, 1, 1
0.0008466, 0, 0, 1, 1, 1, 1, 1, 1
0.0008631, 0, 0, 1, 1, 1, 0, 1, 1
0.0008773, 0, 0, 0, 1, 1, 0, 1, 1
0.0008937, 0, 0, 0, 1, 1, 1, 1, 1
0.0009080, 0, 0, 1, 1, 1, 1, 1, 1
0.0009242, 0, 0, 1, 1, 1, 0, 1, 1
0.0009387, 0, 0, 0, 1, 1, 0, 1, 1
0.0009548, 0, 0, 0, 1, 1, 1, 1, 1
0.0009693, 0, 0, 1, 1, 1, 1, 1, 1
0.0009852, 0, 0, 1, 1, 1, 0, 1, 1
0.0010000, 0, 0, 0, 1, 1, 0, 1, 1
0.0010158, 0, 0, 0, 1, 1, 1, 1, 1
0.0010297, 0, 0, 1, 1, 1, 1, 1, 1
0.0010462, 0, 0, 1, 1, 1, 0, 1, 1
0.0010604, 0, 0, 0, 1, 1, 0, 1, 1
0.0010769, 0, 0, 0, 1, 1, 1, 1, 1
0.0010907, 0, 0, 1, 1, 1, 1, 1, 1
0.0011073, 0, 0, 1, 1, 1, 0, 1, 1
0.0011212, 0, 0, 0, 1, 1, 0, 1, 1
0.0011379, 0, 0, 0, 1, 1, 1, 1, 1
0.0011523, 0, 0, 1, 1, 1, 1, 1, 1
0.0011683, 0, 0, 1, 1, 1, 0, 1, 1
0.0011830, 0, 0, 0, 1, 1, 0, 1, 1
0.0011989, 0, 0, 0, 1, 1, 1, 1, 1
0.0012127, 0, 0, 1, 1, 1, 1, 1, 1
0.0012294, 0, 0, 1, 1, 1, 0, 1, 1
0.0012434, 0, 0, 0, 1, 1, 0, 1, 1
0.0012600, 0, 0, 0, 1, 1, 1, 1, 1
0.0012737, 0, 0, 1, 1, 1, 1, 1, 1
0.0012904, 0, 0, 1, 1, 1, 0, 1, 1
0.0013042, 0, 0, 0, 1, 1, 0, 1, 1
